model,response
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,5
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,5
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,5
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,5
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,5
gemini-2.0-flash-exp,3
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,3
llama-v3p1-70b-instruct,4
deepseek-v3,3
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,4
llama-v3p1-70b-instruct,4
deepseek-v3,4
chatgpt-4o-latest,4
gemini-2.0-flash-exp,4
claude-3-5-sonnet-latest,3
