model,response,total_execution_time_seconds
gpt-4o-mini,Grey Goose,6.812925577163696
gemini-1.5-flash,Grey Goose,6.812925577163696
claude-3-sonnet-20240229,Tito's,6.812925577163696
grok-beta,Grey Goose,6.812925577163696
llama-v3p1-70b-instruct,Grey Goose,6.812925577163696
gpt-4o-mini,Grey Goose,6.812925577163696
gemini-1.5-flash,Grey Goose,6.812925577163696
claude-3-sonnet-20240229,Tito's,6.812925577163696
grok-beta,Grey Goose,6.812925577163696
llama-v3p1-70b-instruct,Grey Goose,6.812925577163696
gpt-4o-mini,Grey Goose,6.812925577163696
gemini-1.5-flash,Stolichnaya,6.812925577163696
claude-3-sonnet-20240229,Tito's,6.812925577163696
grok-beta,Belvedere,6.812925577163696
llama-v3p1-70b-instruct,Grey Goose,6.812925577163696
