model,q_number,response
chatgpt-4o-latest,1,NordVPN
gemini-2.0-flash-exp,1,NordVPN
chatgpt-4o-latest,2,NordVPN
gemini-2.0-flash-exp,2,NordVPN
chatgpt-4o-latest,3,ExpressVPN
gemini-2.0-flash-exp,3,NordVPN
chatgpt-4o-latest,4,ExpressVPN
gemini-2.0-flash-exp,4,NordVPN
chatgpt-4o-latest,5,NordVPN
gemini-2.0-flash-exp,5,NordVPN
chatgpt-4o-latest,6,ExpressVPN
gemini-2.0-flash-exp,6,NordVPN
chatgpt-4o-latest,7,NordVPN
gemini-2.0-flash-exp,7,NordVPN
chatgpt-4o-latest,8,ExpressVPN
gemini-2.0-flash-exp,8,NordVPN
chatgpt-4o-latest,9,ExpressVPN
gemini-2.0-flash-exp,9,NordVPN
chatgpt-4o-latest,10,ExpressVPN
gemini-2.0-flash-exp,10,NordVPN
